Nombre,x,y,Estatus
"Aquila chrysaetos (Linnaeus, 1758)",-100.783073,24.822972,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.69297,24.986963,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.11443,25.897469,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72585,24.858828,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.803764,25.096092,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.31357,25.087816,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.50634,25.61519,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.247,25.460639,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.322859,24.438376,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.107636,25.8974,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-99.943794,25.119316,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-99.99799,26.197935,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.722984,24.85501,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.45089,25.649944,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.67476,24.999584,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.30926,25.092903,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.69297,24.986963,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.31357,25.087816,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58152,25.021969,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.47466,25.948257,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.69297,24.986963,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.56197,25.034584,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.50634,25.61519,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.11284,25.909218,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.58225,25.022314,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.5973,25.018057,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.45089,25.649944,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72062,24.952385,Presencia 
"Aquila chrysaetos (Linnaeus, 1758)",-100.72797,24.896032,Presencia 
