Nombre,x,y,Estatus
"Canis latrans Say, 1823",-99.954515,24.232545,Presencia
"Canis latrans mearnsi Merriam, 1897",-100.612964,25.01515,Presencia
"Canis latrans texensis Bailey, 1905",-100.7132475,25.1611526,Presencia
"Canis latrans texensis Bailey, 1905",-100.7132475,25.1611526,Presencia
"Canis latrans texensis Bailey, 1905",-99.7689777,23.9703046,Presencia
"Canis latrans texensis Bailey, 1905",-100.1949758,23.6726456,Presencia
"Canis latrans Say, 1823",-100.411783,25.648685,Presencia
"Canis latrans Say, 1823",-100.463388,25.763488,Presencia
"Canis latrans Say, 1823",-100.442146,25.760838,Presencia
"Canis latrans Say, 1823",-100.657894,25.003633,Presencia
"Canis latrans Say, 1823",-100.480461,25.760904,Presencia
"Canis latrans Say, 1823",-100.343552,25.737705,Presencia
"Canis latrans Say, 1823",-100.611635,26.516397,Presencia
"Canis latrans Say, 1823",-100.326154,25.58961,Presencia
"Canis latrans Say, 1823",-100.61112,26.518598,Presencia
"Canis latrans Say, 1823",-100.36222,25.619024,Presencia
"Canis latrans Say, 1823",-100.330948,25.602764,Presencia
"Canis latrans Say, 1823",-99.822277,24.995091,Presencia
"Canis latrans Say, 1823",-100.232175,25.741621,Presencia
"Canis latrans Say, 1823",-100.121429,26.405036,Presencia
"Canis latrans Say, 1823",-100.22269,24.870963,Presencia
"Canis latrans Say, 1823",-100.123898,26.404776,Presencia
"Canis latrans Say, 1823",-100.360242,25.618744,Presencia
"Canis latrans Say, 1823",-100.61132,26.517977,Presencia
"Canis latrans Say, 1823",-100.718093,24.893118,Presencia
"Canis latrans Say, 1823",-100.486518,25.759291,Presencia
"Canis latrans Say, 1823",-100.241275,25.793775,Presencia
"Canis latrans Say, 1823",-100.421282,25.78686,Presencia
"Canis latrans Say, 1823",-100.729262,24.882093,Presencia
"Canis latrans Say, 1823",-100.518786,26.545068,Presencia
"Canis latrans Say, 1823",-100.071474,24.224799,Presencia
"Canis latrans Say, 1823",-98.737014,25.675178,Presencia
"Canis latrans Say, 1823",-100.723708,24.87003,Presencia
"Canis latrans Say, 1823",-100.407409,25.751313,Presencia
"Canis latrans Say, 1823",-100.331143,25.645453,Presencia
"Canis latrans Say, 1823",-100.292697,25.78413,Presencia
"Canis latrans Say, 1823",-100.441895,25.765319,Presencia
"Canis latrans Say, 1823",-100.268768,25.626307,Presencia
"Canis latrans Say, 1823",-99.763892,25.042457,Presencia
"Canis latrans Say, 1823",-100.686857,26.109347,Presencia
"Canis latrans Say, 1823",-100.188897,25.798594,Presencia
"Canis latrans Say, 1823",-100.254288,25.61325,Presencia
"Canis latrans Say, 1823",-100.283316,25.869599,Presencia
"Canis latrans Say, 1823",-100.63814,24.916807,Presencia
"Canis latrans Say, 1823",-100.628134,24.922193,Presencia
"Canis latrans Say, 1823",-100.335278,25.083333,Presencia
"Canis latrans Say, 1823",-100.525523,26.546702,Presencia
"Canis latrans Say, 1823",-100.473983,25.744482,Presencia
"Canis latrans Say, 1823",-100.353705,25.607483,Presencia
"Canis latrans Say, 1823",-100.662222,24.802778,Presencia
"Canis latrans Say, 1823",-100.477365,25.758165,Presencia
"Canis latrans Say, 1823",-100.263588,25.601655,Presencia
"Canis latrans Say, 1823",-100.262143,25.636938,Presencia
"Canis latrans Say, 1823",-100.275458,25.571716,Presencia
"Canis latrans Say, 1823",-100.274385,25.572785,Presencia
"Canis latrans Say, 1823",-100.299788,24.104094,Presencia
"Canis latrans Say, 1823",-100.438927,25.757249,Presencia
"Canis latrans Say, 1823",-100.27129,25.599415,Presencia
"Canis latrans Say, 1823",-100.412983,25.728932,Presencia
"Canis latrans Say, 1823",-99.680434,25.189539,Presencia
"Canis latrans Say, 1823",-100.719654,24.724858,Presencia
"Canis latrans Say, 1823",-100.475736,25.768198,Presencia
"Canis latrans Say, 1823",-100.632515,24.735811,Presencia
"Canis latrans Say, 1823",-100.524822,25.847576,Presencia
"Canis latrans Say, 1823",-100.513372,25.852723,Presencia
"Canis latrans Say, 1823",-100.174228,25.414832,Presencia
"Canis latrans Say, 1823",-100.179461,25.87896,Presencia
"Canis latrans Say, 1823",-100.727232,24.895788,Presencia
"Canis latrans Say, 1823",-100.518183,25.850531,Presencia
"Canis latrans Say, 1823",-100.271842,25.599987,Presencia
"Canis latrans Say, 1823",-100.344912,25.599823,Presencia
"Canis latrans Say, 1823",-100.716164,24.882937,Presencia
"Canis latrans Say, 1823",-100.238155,24.040071,Presencia
"Canis latrans Say, 1823",-100.216473,24.007238,Presencia
"Canis latrans Say, 1823",-100.256893,24.107458,Presencia
"Canis latrans Say, 1823",-100.439278,25.756627,Presencia
"Canis latrans Say, 1823",-100.224155,24.876637,Presencia
"Canis latrans Say, 1823",-100.507908,26.555727,Presencia
"Canis latrans Say, 1823",-100.507527,26.553558,Presencia
"Canis latrans Say, 1823",-99.979218,25.20199,Presencia
"Canis latrans Say, 1823",-99.829605,25.028908,Presencia
"Canis latrans texensis Bailey, 1905",-100.175556,23.668889,Presencia
"Canis latrans texensis Bailey, 1905",-99.769722,23.971944,Presencia
"Canis latrans texensis Bailey, 1905",-100.336944,24.630556,Presencia
"Canis latrans texensis Bailey, 1905",-100.336944,24.630556,Presencia
"Canis latrans Say, 1823",-100.420898,25.744296,Presencia
"Canis latrans Say, 1823",-100.572501,26.20706,Presencia
"Canis latrans Say, 1823",-100.101629,25.772632,Presencia
"Canis latrans Say, 1823",-100.225746,24.420475,Presencia
"Canis latrans Say, 1823",-100.902041,26.281844,Presencia
"Canis latrans Say, 1823",-100.216716,25.597386,Presencia
"Canis latrans Say, 1823",-100.509757,26.562118,Presencia
"Canis latrans Say, 1823",-100.425102,25.747694,Presencia
"Canis latrans Say, 1823",-99.836609,23.870587,Presencia
"Canis latrans Say, 1823",-100.135984,25.47255,Presencia
"Canis latrans Say, 1823",-100.60887,25.100913,Presencia
"Canis latrans Say, 1823",-100.606273,24.907461,Presencia
"Canis latrans Say, 1823",-100.632066,25.12237,Presencia
"Canis latrans Say, 1823",-100.214725,25.596985,Presencia
"Canis latrans Say, 1823",-100.509755,26.562261,Presencia
"Canis latrans Say, 1823",-100.192554,25.58942,Presencia
