Nombre,x,y,Estatus
"Sus scrofa Linnaeus, 1758",-100.223143,25.613965,Presencia
"Sus scrofa Linnaeus, 1758",-98.722834,25.637112,Presencia
"Sus scrofa domesticus Linnaeus, 1758",-100.217025,25.600455,Presencia
"Sus scrofa Linnaeus, 1758",-99.827877,24.948701,Presencia
"Sus scrofa Linnaeus, 1758",-100.205229,25.601031,Presencia
"Sus scrofa Linnaeus, 1758",-100.206269,25.60152,Presencia
"Sus scrofa domesticus Linnaeus, 1758",-100.206957,25.603642,Presencia
"Sus scrofa Linnaeus, 1758",-100.192695,25.589839,Presencia
"Sus scrofa Linnaeus, 1758",-100.186111,25.553333,Presencia
"Sus scrofa Linnaeus, 1758",-99.23122,26.079535,Presencia
"Sus scrofa domesticus Linnaeus, 1758",-100.190538,25.588112,Presencia
