Nombre,x,y,Estatus
"Lynx rufus (Schreber, 1777)",-99.927489,24.01938,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-99.7689777,23.9703046,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-99.817357,23.9979933,Presencia
"Lynx rufus (Schreber, 1777)",-100.524155,25.593283,Presencia
"Lynx rufus (Schreber, 1777)",-99.836085,24.995862,Presencia
"Lynx rufus (Schreber, 1777)",-99.176062,25.795435,Presencia
"Lynx rufus (Schreber, 1777)",-100.124988,26.4063,Presencia
"Lynx rufus (Schreber, 1777)",-100.11751,26.396983,Presencia
"Lynx rufus (Schreber, 1777)",-100.477672,25.746156,Presencia
"Lynx rufus (Schreber, 1777)",-100.539184,26.205645,Presencia
"Lynx rufus (Schreber, 1777)",-100.74295,25.898012,Presencia
"Lynx rufus (Schreber, 1777)",-99.53157,24.790419,Presencia
"Lynx rufus (Schreber, 1777)",-100.345736,25.862523,Presencia
"Lynx rufus (Schreber, 1777)",-100.345734,25.862515,Presencia
"Lynx rufus (Schreber, 1777)",-99.787231,27.43274,Presencia
"Lynx rufus (Schreber, 1777)",-99.089482,25.640947,Presencia
"Lynx rufus (Schreber, 1777)",-98.600857,25.556448,Presencia
"Lynx rufus (Schreber, 1777)",-100.362413,25.632328,Presencia
"Lynx rufus (Schreber, 1777)",-100.03483,25.765098,Presencia
"Lynx rufus (Schreber, 1777)",-100.007135,25.517693,Presencia
"Lynx rufus (Schreber, 1777)",-99.444294,26.184096,Presencia
"Lynx rufus (Schreber, 1777)",-100.636517,24.738956,Presencia
"Lynx rufus (Schreber, 1777)",-100.525507,25.864307,Presencia
"Lynx rufus (Schreber, 1777)",-100.512297,26.544182,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-99.769722,23.971944,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-99.824167,24.101111,Presencia
"Lynx rufus (Schreber, 1777)",-100.056279,26.320858,Presencia
"Lynx rufus (Schreber, 1777)",-100.056053,26.317087,Presencia
"Lynx rufus (Schreber, 1777)",-100.057466,26.319871,Presencia
"Lynx rufus (Schreber, 1777)",-100.180337,25.813542,Presencia
"Lynx rufus (Schreber, 1777)",-99.760629,25.044556,Presencia
"Lynx rufus (Schreber, 1777)",-99.696966,25.840316,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus (Schreber, 1777)",-99.9125,23.955833,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-100.091667,25.645556,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-100.171667,26.503333,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-99.628056,25.840833,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-100.049444,25.786389,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-100.110278,25.375833,Presencia
"Lynx rufus texensis J.A.Allen, 1895",-99.1825,25.925556,Presencia
"Lynx rufus (Schreber, 1777)",-98.780444,25.66176,Presencia
"Lynx rufus (Schreber, 1777)",-98.670667,25.708857,Presencia
"Lynx rufus (Schreber, 1777)",-98.729214,25.758123,Presencia
"Lynx rufus (Schreber, 1777)",-98.805288,25.721226,Presencia
"Lynx rufus (Schreber, 1777)",-100.481024,24.980398,Presencia
"Lynx rufus (Schreber, 1777)",-98.765373,25.775685,Presencia
"Lynx rufus (Schreber, 1777)",-100.817302,27.20097,Presencia
