Nombre,x,y,Estatus
"Ursus americanus Pallas, 1780",-100.258731,25.563301,Presencia 
"Ursus americanus Pallas, 1780",-100.270801,25.549372,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.403819,25.648262,Presencia 
"Ursus americanus Pallas, 1780",-99.959385,24.921916,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.940395,24.935615,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.96917,23.950839,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.226646,25.040308,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.90778,23.924326,Presencia 
"Ursus americanus Pallas, 1780",-99.971466,24.511727,Presencia 
"Ursus americanus Pallas, 1780",-99.851561,24.540243,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.704736,24.347216,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.971423,24.226997,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.999329,24.51731,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.835468,24.495575,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.915462,24.529624,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.92177,24.512151,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.964213,25.043795,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.91573,24.530916,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.395469,25.635955,Presencia 
"Ursus americanus Pallas, 1780",-100.280078,25.611805,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.356961,25.620203,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.3433,25.602934,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.203147,25.370697,Presencia 
"Ursus americanus Pallas, 1780",-100.277439,25.612934,Presencia 
"Ursus americanus Pallas, 1780",-100.551329,26.545486,Presencia 
"Ursus americanus Pallas, 1780",-100.356512,25.607237,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.354224,25.61414,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.265355,25.578272,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.344762,25.600107,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.359978,25.619787,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.35959,25.618878,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.360257,25.618226,Presencia 
"Ursus americanus Pallas, 1780",-100.25439,25.60557,Presencia 
"Ursus americanus Pallas, 1780",-100.482656,26.546252,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.349469,25.601474,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.169669,25.355206,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.275755,25.604244,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.899453,26.052156,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.117501,26.409952,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.099322,26.405225,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.115614,26.411921,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.124232,26.406402,Presencia 
"Ursus americanus Pallas, 1780",-100.282867,25.612972,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.111861,26.399951,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.117755,26.39718,Presencia 
"Ursus americanus Pallas, 1780",-100.265317,25.578312,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.270439,25.549894,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.265314,25.578313,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.265319,25.578312,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.519965,26.679691,Presencia 
"Ursus americanus Pallas, 1780",-100.685658,26.24155,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.283133,25.613278,Presencia 
"Ursus americanus Pallas, 1780",-100.544291,26.231884,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.529667,26.535033,Presencia 
"Ursus americanus Pallas, 1780",-100.355303,25.607988,Presencia 
"Ursus americanus Pallas, 1780",-100.274068,25.539374,Presencia 
"Ursus americanus Pallas, 1780",-100.220998,25.36974,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.260378,25.604611,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.386771,25.632371,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.548624,26.543055,Presencia 
"Ursus americanus Pallas, 1780",-100.525113,25.54801,Presencia 
"Ursus americanus Pallas, 1780",-100.225836,25.374728,Presencia 
"Ursus americanus Pallas, 1780",-100.244416,25.594206,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.997589,26.651864,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.207285,25.382002,Presencia 
"Ursus americanus Pallas, 1780",-100.206976,25.380999,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.207456,25.381537,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.208708,25.382475,Presencia 
"Ursus americanus Pallas, 1780",-100.348512,25.600513,Presencia 
"Ursus americanus Pallas, 1780",-100.339835,25.617393,Presencia 
"Ursus americanus Pallas, 1780",-100.549079,26.543215,Presencia 
