Nombre,x,y,Estatus
"Gopherus berlandieri Agassiz, 1857",-100.380149,25.697177,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.5401623,25.8403362,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.0901533,26.2803208,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.9199634,27.0105666,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.9199634,27.0105666,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.843167,26.862417,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.345795,25.728554,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.313786,25.60022,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.670595,25.615768,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.644607,25.779552,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.220915,25.988253,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.624258,26.57462,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.185733,25.915876,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.179055,25.674534,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.176887,26.441419,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.380012,25.604503,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.38693,25.864857,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.451094,26.189022,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.304669,25.812788,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.285919,25.845581,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.697779,26.191062,Presencia
"Scaptochelys berlandieri (Agassiz, 1857)",-99.9901521,26.5503108,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.9901521,26.5503108,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.9901521,26.5503108,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.890217,26.853709,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.303474,25.908502,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.226438,25.921851,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.887688,25.344233,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.809593,25.340188,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.328028,25.688566,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.200086,25.943747,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.743952,25.700323,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.742225,26.069551,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.738915,26.182975,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.108796,25.87796,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.121889,25.84744,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.275,25.725,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.808333,25.125,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.808333,25.158333,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.125,27.258333,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.541667,26.441667,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.325,25.725,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.100815,25.37859,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.218916,26.072638,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.69104,25.788199,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.506704,25.705073,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.434803,25.708697,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.563683,25.561075,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.695538,24.867021,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.484073,25.722497,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.088317,25.960785,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.496714,26.419145,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.997575,25.911992,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.650641,26.472401,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.305406,25.772608,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.147509,25.356606,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.327371,25.688127,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.103475,25.770727,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.220448,25.638712,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.082169,25.839712,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.239809,25.680257,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.391451,25.789946,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.310995,25.811671,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.04494,25.890213,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.293177,25.638548,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.244268,25.747287,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.315098,25.67504,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.86481,25.867724,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.771034,27.688509,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.879805,25.499902,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.521299,26.447315,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.278016,25.409622,Presencia
"Gopherus berlandieri Agassiz, 1857",-98.633016,25.609052,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.97126,25.160905,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.160821,25.825765,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.515137,25.674258,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.309714,25.829798,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.08673,25.809469,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.458798,26.262372,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.538667,25.697991,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.620472,25.786006,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.310195,25.909751,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.623364,25.894561,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.690115,25.014859,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.455695,26.079348,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.538908,26.116584,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.71673,26.603341,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.998325,27.358055,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.503994,26.270609,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.786856,25.695359,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.683362,26.044322,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.490253,25.887804,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.586593,25.554231,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.76143,26.036472,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.462383,26.124011,Presencia
"Gopherus berlandieri Agassiz, 1857",-98.669534,25.53401,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.312469,25.809717,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.920518,25.627934,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.916849,25.650276,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.130454,25.871711,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.385497,25.818924,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.342639,25.994846,Presencia
"Gopherus berlandieri Agassiz, 1857",-98.744387,25.53545,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.530176,26.320681,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.187891,25.930557,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.903656,25.010292,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.378311,26.151677,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.413724,25.685263,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.406333,25.943468,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.024219,25.928894,Presencia
"Gopherus berlandieri Agassiz, 1857",-100.463409,26.476442,Presencia
"Gopherus berlandieri Agassiz, 1857",-99.882901,25.195682,Presencia
