nombre,x,y,Estatus
"Odocoileus virginianus (Zimmermann, 1780)",-100.53445,26.558065,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.489516,26.167527,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.51123,26.569725,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.977595,25.201689,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.252202,25.377113,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.538178,26.5868,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.398747,25.673219,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.763908,25.042326,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.508369,26.556725,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.351944,24.9175,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.238889,25.705,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.946111,23.736111,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.448085,25.363398,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.384722,24.938056,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.946111,23.736111,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.77,24.01,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.339858,25.595656,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.848642,23.807725,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.587692,26.546638,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.20619,25.383786,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.27527,25.759144,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.339158,25.595191,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.205469,25.379479,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.521207,26.680016,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.507282,24.842128,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.65412,25.62826,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-98.86875,25.637867,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.114071,25.218963,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.611233,26.518327,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.216772,25.38807,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.795514,26.811942,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.22561,24.889746,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.375421,25.21099,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.360263,25.618763,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.758109,24.991358,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.582107,26.548615,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.348045,25.605095,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.341592,25.600654,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.335403,25.59645,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.345459,25.60661,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.391728,25.075215,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.793807,23.882817,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.375436,25.211017,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.22,24.884886,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.34795,25.601364,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.219297,25.627313,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.76203,25.044108,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.762009,25.04406,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.823457,24.997855,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.541867,26.182308,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.826257,25.188021,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-98.872885,25.644633,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.793173,26.678917,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.220706,25.627651,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-98.77959,25.716863,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.247116,25.760527,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.602675,26.516274,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.849015,23.807813,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.005556,26.192054,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.144619,25.433796,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.523478,25.551376,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.93,26.093611,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.612437,26.513191,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-99.903517,24.774104,Presencia 
"Odocoileus virginianus texanus (Mearns, 1898)",-99.831932,26.760683,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.597804,26.539805,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.22067,26.483635,Presencia 
"Odocoileus virginianus (Zimmermann, 1780)",-100.357265,25.606218,Presencia 
