Nombre,y,x,Estatus
"Urocyon cinereoargenteus scottii Mearns, 1891",24.0743496,-99.9604208,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.5951081,-99.9940337,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.3240095,-99.9134707,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",23.9834419,-99.817357,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",23.9834419,-99.817357,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",23.9979933,-99.817357,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.605816,-100.343712,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.084532,-100.363112,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.502333,-100.196695,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.395663,-100.103759,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.909699,-100.038391,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.199866,-99.361518,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.539877,-100.597838,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.540217,-100.597825,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.88247,-100.360491,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.716666,-100.604267,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.551415,-100.52345,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",25.703333,-99.2625,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.615473,-100.355629,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.884688,-100.033039,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.608572,-100.505558,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.04432,-100.643946,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.612517,-100.366112,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.547412,-100.22535,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.864387,-100.161972,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.307862,-100.061098,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.607316,-100.353418,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.889569,-99.446426,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.636218,-100.262371,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.503117,-100.533168,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.053395,-100.325758,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.403583,-100.407806,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.420664,-100.145435,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.403583,-100.407806,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.049444,-100.323055,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.495194,-100.50675,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.432849,-100.150411,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.540747,-100.518163,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.466659,-100.157932,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.047547,-100.637736,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.243658,-100.040711,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.723068,-100.70654,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.551752,-100.523389,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.654376,-100.442668,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.358622,-100.366234,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.571622,-100.27558,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.909716,-99.799118,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.606992,-100.354797,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.643377,-100.244536,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.864429,-100.526926,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.544853,-100.526658,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.546123,-100.524562,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.295092,-100.734549,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.615353,-100.355603,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.421769,-100.168253,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.729102,-100.413096,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.756215,-100.44346,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.41827,-100.144316,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.859678,-100.510384,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.612775,-100.355355,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.249688,-100.032186,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.872117,-100.505807,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.542115,-100.520156,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.635184,-100.262913,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.607642,-100.355043,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.794527,-99.812117,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.79446,-99.812228,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.938994,-99.862241,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.938578,-99.861977,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.541545,-100.52891,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.709742,-100.448603,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.665977,-100.795565,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.327222,-99.912222,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.101111,-99.824167,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.591944,-99.995,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.101111,-99.824167,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.104444,-99.923611,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",24.101111,-99.824167,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.467242,-100.152086,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.320057,-100.055533,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.321823,-100.059114,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.320466,-100.058185,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.339877,-100.841678,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.961613,-100.28154,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.596962,-100.213204,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.629377,-100.210676,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.564184,-100.1888,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.756755,-100.626156,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.622499,-100.312775,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.78713,-100.347763,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",26.544494,-100.591677,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.639349,-100.470335,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.376226,-100.232005,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.955833,-99.9125,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.955833,-99.9125,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.955833,-99.9125,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.955833,-99.9125,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.955833,-99.9125,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.956667,-99.8575,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.105278,-99.924444,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.323611,-99.913333,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.736111,-99.946111,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.594722,-99.994444,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",24.099444,-99.817222,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",23.956667,-99.8575,Presencia 
"Urocyon cinereoargenteus scottii Mearns, 1891",25.368611,-100.160556,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",25.467184,-100.157706,Presencia 
"Urocyon cinereoargenteus (Schreber, 1775)",27.00627,-100.517097,Presencia 
